"id","food_id","calories_100g","protein_g_100g","carbs_g_100g","fat_g_100g","saturated_fat_g_100g","fiber_g_100g","sugar_g_100g","sodium_mg_100g","calcium_mg_100g","iron_mg_100g","vitamin_c_mg_100g","created_at","updated_at"
"ae95787d-c963-4f13-9860-88684de83b98","08443ad3-a197-4a35-a591-cdd2aab266c4","233.67","7.35","14.90","17.10","2.22","5.40","0.34","438.00","41.00","2.41","0.00","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"f346de1a-f2ae-4757-93dd-cc185f2c5f37","395a3ca8-efed-467e-a81d-99db7b860db4","28.33","0.83","5.51","0.63","","2.10","","6.00","11.00","0.33","27.20","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"14c5a1a1-0a0c-4e50-9c90-9cfa170be6eb","66a7641a-8270-4dc6-9772-0051bffd485c","21.67","1.04","4.11","0.39","","","1.29","282.00","36.00","0.78","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"3ad90d65-6481-4146-853a-59c69207667f","d67235c2-7ef5-4803-8185-47b7ec2ee8e7","312.67","11.70","2.89","28.00","11.40","","1.26","872.00","15.00","1.14","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"92d3f1fc-81ee-4b8f-aa21-975163c7a234","568eae66-b0bb-40fd-b0be-75c4df8a5068","636.00","20.40","16.20","57.80","4.56","11.00","4.17","256.00","273.00","3.17","0.00","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"1d8a6b9f-ab1a-4552-9d02-1db438349e61","9e5da1e2-7e56-4180-b9d3-c3e054e4b5ab","37.67","2.92","4.42","1.49","","4.10","0.80","53.00","254.00","1.60","93.40","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"fc31ab92-cb2e-4b67-9ba2-bd317c3bc0c9","f62d5f8d-9fc1-43b4-bda8-f5cc7d9ba438","148.67","12.30","0.91","10.30","","","","121.00","55.00","1.77","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"df7478a3-3576-4489-8208-10d9c3af4e93","f84a0d73-f6be-4109-bc05-252824d29f40","47.00","10.10","0.74","0.16","","","","144.00","9.00","0.18","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"9dd553e2-a295-4193-bfb2-611c24ee2f90","61fd8b51-6265-4b99-bb94-edc8aeccfe45","367.33","79.90","6.02","0.65","","","","1250.00","104.00","0.00","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"99ed75d2-6fca-406a-84b4-fa58d9356ae9","158c21be-a132-4a26-8a40-db0dee86549f","290.00","4.52","36.30","14.40","2.15","2.40","4.50","374.00","28.00","1.14","1.60","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"bc0501cd-6bbb-4602-9e7e-2b327837f624","747729e6-c321-42e5-b0d6-a096e1190642","12.67","0.48","1.99","0.43","","1.00","1.28","808.00","54.00","0.23","2.10","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"da9de585-641b-422a-b8a0-e15419fac89f","a6f2f8ad-9861-4e4b-b719-cc7811d7caea","420.33","29.60","12.40","28.00","15.50","","0.07","1750.00","884.00","0.45","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"782c9fb5-35da-4006-b76d-8b56a4c2b9dd","47e60422-be14-45b5-a4a2-cfb1951ea90c","366.67","18.00","5.27","30.60","18.10","","2.63","1660.00","866.00","0.48","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"0e429f71-7671-4a3d-beb2-8cc6ae31b7e1","6215431d-39e6-48bd-b5f4-97266a2621d4","37.67","0.55","7.59","0.70","","0.20","7.72","1.00","16.00","0.07","39.40","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"531b68a0-421e-4a98-894f-26a73bea608e","83cd0a7d-4b60-4909-9258-2020d7a081ec","43.33","0.91","10.10","0.27","","1.50","8.39","13.00","4.00","0.34","4.10","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"052178f3-9aa4-4327-b9a1-06291a2e6089","894d94b3-7217-43b7-9147-6ec9c0122ac6","627.00","21.00","17.10","56.10","5.36","10.30","3.14","532.00","78.00","5.21","0.00","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"f4c04fed-e0cf-4cc7-bcb4-1cf65ff39b71","d6ccda8e-6dd0-4cf9-affb-5eb38da0aa55","269.00","9.43","49.20","3.59","0.82","2.30","5.34","477.00","211.00","3.36","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"044c3d3b-a91f-4afb-8d43-5c55ab08bf44","763a47cf-4ff5-4915-aa82-21dd9ea1b46c","38.67","2.94","5.30","1.21","","","1.12","16.00","150.00","0.84","17.80","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"efe8e911-0ee7-4c1f-9db5-7d1f6e45de00","fe849d37-fa81-448e-b8bf-572b371bcfe3","63.67","4.25","5.30","3.38","0.25","4.30","1.42","1100.00","63.00","1.59","0.40","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"3067c3c7-e793-4f81-99d5-b1bea1db9b6b","95e18447-0789-4da4-b510-3be5b5b2bf10","60.00","1.06","14.00","0.44","","3.00","8.99","5.00","35.00","0.24","74.70","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"6c45a11f-c595-456e-a559-a9389e5329fa","047d4434-680f-4d6b-b35e-63a62ca1fc69","40.33","1.06","9.18","0.28","0.00","1.50","7.89","13.00","2.00","0.30","2.90","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"7e04e39a-5c56-483a-ab65-f4a430d4fda4","ebadd1f9-9fd4-4a05-bbfd-d722b8a07547","408.33","23.30","2.44","34.00","19.20","","0.33","654.00","707.00","0.16","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"3eb6ff75-ff31-429c-8b7d-7beb787dbf3b","214f4b35-1003-413e-89ff-11092e610ece","83.33","11.00","4.31","2.30","1.26","","4.10","321.00","103.00","0.13","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"163fdaba-048c-43fc-b9a8-a017f5fb927f","b68a6942-568e-4bad-88bf-2d79a76892ca","297.33","23.70","4.44","20.40","11.70","","1.81","699.00","693.00","0.20","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"db84b41e-4d50-40e1-887d-fd0eaec8a268","abccc56e-5768-41c5-b890-d5dc496f9eda","569.67","48.10","1.87","39.80","","","","485.00","220.00","6.97","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"d25791de-be86-402c-a829-5df34d5b92f6","7eef31d3-de8f-46b0-a220-06191dd3b19a","294.67","15.60","0.59","25.10","","","","66.00","119.00","4.13","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"fef07d9c-79a1-450a-88e2-4d43932ba636","c80abc01-c16a-49bb-8a38-95268b514e6a","649.67","34.20","1.07","55.50","","","","149.00","270.00","9.28","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"b8697f38-6a3f-473a-914a-610d418cbc3f","8c71cff2-dbb4-4455-bfc2-d43a74166422","60.33","10.30","3.64","0.37","0.11","","3.27","36.00","111.00","0.07","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"22c18fdd-5ce2-4374-a185-2f28f7bc85fe","5792c7d0-c8ae-4f20-b06a-e37ac83c882e","82.67","8.06","12.20","0.15","0.10","0.60","11.50","32.00","97.00","0.09","0.20","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"182407cd-b740-426f-bb82-214dbbfa577a","bf03a6a6-2259-41d5-a324-36a4d8041a75","853.67","0.00","0.84","99.10","82.50","","","0.00","1.00","0.05","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"a2ad8625-8537-45a7-8e62-566b1f669f09","b51860e9-4dfa-4769-8777-48c5370d1031","153.67","23.90","0.00","5.95","1.60","","","117.00","12.00","0.94","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"070381c7-d91d-4086-82d7-2d7b4f079dd2","d912ea11-ee9a-480d-9e8a-bd86b5cb8680","163.33","32.10","0.00","3.24","1.01","","","47.00","6.00","0.49","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"4b5014dd-8f7b-4676-8979-6fa5dca26ae7","0f3946e2-9a44-4e88-84b2-841f00a62e49","47.00","1.41","8.05","1.48","0.17","1.80","5.50","419.00","27.00","0.78","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"a46fd2c2-14fa-467b-a095-b5feb3069572","6f8aa215-0289-4c0f-b2fe-e427ddac2bda","104.33","16.70","0.27","3.73","1.12","","","1040.00","5.00","0.58","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"a68fb2e1-3b46-4d91-a308-2635f641f5f2","99c60769-5a41-45aa-a430-8cf1ba42a11a","133.67","1.15","4.96","12.90","2.30","4.00","0.00","1620.00","121.00","0.31","0.00","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"b6ca1c63-4125-42f2-8a26-a12479b5d0dd","76c84c12-b3a4-4cce-90b6-c3e4925406ce","430.00","5.79","69.60","14.30","4.78","3.30","34.80","314.00","29.00","2.28","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"76acfff3-e48f-4b4d-81f5-6565061bc66a","d2686660-d0ae-450b-a7d4-ad50c70fd3a7","19.00","0.84","3.32","0.50","","","2.99","125.00","30.00","0.57","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"92e9367e-b686-4a7e-ac85-d069a5f9c528","1315af2e-1bba-4252-9e75-c0926f9f4ef3","72.33","16.30","0.00","0.45","0.09","","","213.00","11.00","0.17","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"76dd1451-3c44-4f3a-9ba1-d78cfc0a5f81","d3e9f67e-1c15-4de3-91a8-ce769e428d9d","55.00","12.30","0.00","0.41","0.13","","","333.00","15.00","0.22","0.00","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"194fa261-045c-402e-9165-727e6474c85a","ba19648e-0648-45d2-ba03-5b09053de7c6","88.33","19.00","0.08","0.94","0.22","","0.00","219.00","18.00","1.67","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"49109cb6-7f14-4e83-95d6-4de3e05be1e3","7a5f6f85-332e-42cb-af66-ea173e964a3f","174.00","3.84","32.50","3.19","0.49","","0.62","361.00","11.00","0.46","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"86ac0453-b289-421d-8213-6bae2ff2f4fc","1b7725c9-f102-4683-a145-fe84b75ca976","174.00","7.38","15.80","9.04","2.69","2.40","0.46","473.00","75.00","0.87","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"f62ead13-d04d-49c5-9bf4-418713ce0453","3a7448cc-cff5-43e7-9dd5-7d2d25ae93f6","229.00","5.59","31.50","9.01","2.19","5.80","1.30","305.00","51.00","1.46","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"ea7d8225-3945-49dd-90e2-c45d98d20395","1cb21228-a654-4564-bee0-5838c3972453","254.00","12.30","43.10","3.55","0.73","6.00","4.41","450.00","163.00","2.56","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"283d2269-e0a2-4ccb-b0a2-c59aecef2449","cf2d3787-98b2-4520-886a-934782dbc389","173.33","27.70","0.00","6.36","2.47","","","54.00","13.00","3.04","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"41ca7ca7-1adb-4043-8398-8ce5e22ed709","fbcbe791-f396-405d-82d7-9456dd641d4e","153.00","22.80","0.00","6.39","2.56","","","45.00","15.00","1.90","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"1d36426d-59e6-4765-99b0-dfe8cc3e220f","cce5b674-0bf4-4a4f-a248-ac18b31765c8","120.00","23.40","0.00","2.48","0.95","","","50.00","13.00","1.37","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"7c309b01-efe1-407d-bf46-ccb70d0fc8c2","53964433-b739-4f52-8ffc-77a02d1d8d7b","120.67","23.70","0.00","2.41","0.92","","","55.00","13.00","2.34","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"89d467c0-3e41-406d-bc8c-b254ed34b5e3","017b64b8-d4e5-4a95-b748-f6b529c4f8d5","143.00","22.70","0.00","5.32","2.07","","","43.00","19.00","2.26","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"e4a41644-6136-403b-b51a-58e9f60ef412","578f53ff-5299-4987-98cd-96baf696edbd","216.67","27.30","0.00","11.40","4.68","","","67.00","19.00","3.53","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"375ce2cb-b8a9-4a70-a1a6-8db3d2800b2f","437b19dc-d43a-45b1-b740-79b4ab678b86","37.67","0.81","7.92","0.47","0.00","3.20","4.20","66.00","33.00","0.43","2.20","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"c3d0cada-b524-4ace-b7c2-7a9bd3188bd1","6e3da28b-ccc9-4df2-b013-a603825e4161","325.67","24.50","2.07","24.30","13.70","","0.43","1810.00","661.00","0.18","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"396a31a0-1140-4a52-a3b7-666511c7de6b","6d88ad15-8b31-46b1-97c1-2c3cd9d6ebed","157.33","7.81","6.86","11.00","6.97","","","105.00","224.00","0.10","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"352889f8-e6e8-43f5-931f-1d25dd642331","c7609fe4-5a03-4802-a25f-306841f77698","393.00","27.00","1.44","31.00","18.20","","0.00","185.00","890.00","0.13","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"fb52b7e7-9edf-42a9-a68f-7d525e3c2f2e","d49dc54d-2bc5-4b2c-b42f-4bd74aacb85c","258.33","3.30","63.90","0.92","","9.80","47.90","10.00","162.00","2.03","1.20","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"6655c5b6-975f-41df-a069-a982cf6f822b","7d5a1b9a-145c-4119-ad00-39e226c4dab5","18.00","1.24","3.24","0.26","","1.80","1.19","","35.00","0.95","4.60","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"a8434a36-9d69-4f5e-9c03-362f64cf06ef","616e7a7a-5053-4f60-a620-6f91143bd588","35.33","0.82","8.16","0.18","","0.80","7.88","30.00","9.00","0.38","10.90","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"bcb0741d-3b8f-42b5-a0df-bee19e762c8a","b60353a9-c608-436b-83cf-4fdc68e8ece1","48.67","0.91","11.80","0.15","","2.00","8.57","9.00","43.00","0.33","59.10","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"00b84a35-9148-48f5-b45b-b8f8dd404500","7ba36d1b-5004-4750-a2b8-10f467a2bec6","43.00","3.38","5.18","0.95","0.57","","4.96","39.00","126.00","0.00","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"bf3d69a8-f40c-4faa-8291-14082d827c13","0987c77a-6366-4594-a235-bbad5a72c74c","59.00","0.38","15.10","0.16","","3.10","9.69","7.00","8.00","0.17","4.40","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"c32ad0f5-30c3-469b-8449-485fa76a61e2","635d8a78-0c29-490d-9e15-000b0e75c13b","260.00","8.88","25.50","13.60","2.68","1.00","10.30","304.00","46.00","3.07","2.30","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"a4fd9a66-4959-477b-861b-c5de1792e38d","d7386c07-550f-4708-837e-15dd66f1a41c","0.00","","","","","","","38700.00","50.00","0.00","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"97e5a0ab-aaa6-4f5c-bd0c-6514eb3a8f63","b2debfeb-5dba-406d-8023-97284786a4b6","34.00","3.43","4.92","0.08","0.05","","5.05","41.00","132.00","0.00","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"a2bee91f-db23-44ba-82e6-96b9f28675cf","be184955-1fbe-49cb-9b4b-f11c2ad1099c","30.67","1.44","6.74","0.19","","1.80","3.81","656.00","28.00","0.42","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"eb352346-1cb0-48bd-9057-73185cb7249d","f46e8cd5-1ce6-45ae-ba97-ba74d0ea70b7","50.00","3.36","4.90","1.90","1.11","","4.89","39.00","126.00","0.00","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"a43086ca-e238-48b2-a94f-9d2a4535c6dc","7f5f2774-7811-48c2-ac4c-9d669efd6b61","338.33","13.30","3.37","28.70","11.30","","1.00","866.00","35.00","1.55","19.20","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"3015f52b-bc3e-4362-b854-e79a1b2ff59a","125c240a-00fd-4676-840c-bf525703c294","320.33","18.20","2.15","26.20","9.15","","1.46","766.00","12.00","1.29","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"8946d39b-afa9-4632-b38f-8643b9b913d3","b0d8b61e-3aad-485c-ba8f-28786e6a19d0","346.00","19.30","2.63","28.10","9.45","","","983.00","37.00","2.34","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"36de280c-25f9-4f7e-961c-1d81990ca053","9bac4e21-10bd-4631-aa1b-9715d55862e3","60.33","3.27","4.63","3.20","1.86","","4.81","38.00","123.00","0.00","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"ad67a035-6bdd-4aba-8fea-c67cb204c2b7","b6bf9cb1-9081-4aaa-b307-26af4aa74288","167.33","16.70","0.93","10.40","2.53","","","599.00","32.00","1.17","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"91c88950-998f-46cd-b5b0-29257edb58c4","9fe70205-0c36-428c-bbb6-0f75ba95fa54","390.33","0.00","99.60","0.32","","","99.80","1.00","1.00","0.05","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"29bf2556-d616-4480-9baf-4cb93da837c2","636839c6-dd69-4811-8921-f481eb2d0eb6","217.67","27.10","0.00","11.60","2.97","","","90.00","31.00","1.56","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"a1e8272c-49ed-4de2-907b-00b1ceddc8ee","1e731c59-dd1b-4ca9-bc8c-4f92a2df53f1","122.67","19.60","2.36","3.68","1.25","","2.20","1030.00","6.00","0.86","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"856b71b2-ba2e-411a-aaf0-ab680ec1cb5f","6ed45916-4735-41d7-8dbe-bd384969710c","374.33","17.50","6.35","31.10","17.70","","3.76","1600.00","508.00","0.24","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"874a60f1-b7a7-4b45-a8da-509cd6a0fbf3","e563c210-b5de-4625-98d8-57e3c721fedc","34.00","2.57","6.27","0.34","0.04","2.40","1.40","36.00","46.00","0.69","91.30","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"406c819e-75eb-4501-ae21-07e472a178e1","4a4a5438-ea6f-4064-86e9-408f912b9f00","112.33","1.11","26.80","0.55","","","21.80","949.00","14.00","0.43","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"e7c9a4a4-ae2b-4dd7-a8e4-0c8b3cd51a9a","69dfe774-9469-462a-b15a-79907add37f6","54.00","10.70","2.36","0.00","","","","","","","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"597fb264-e8ac-4b94-adf9-42f4f636aa6c","ce9546ff-67fb-4f6f-9047-a0d414a504fc","332.00","16.20","1.02","28.80","","","","","","","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
"2906f93e-54a1-452d-a285-e757da6a0d06","9027c1e8-ab4b-4d07-8c5b-382eb4f7856b","146.00","12.40","0.96","9.96","3.20","0.00","0.20","129.00","48.00","1.67","","2026-01-07T15:52:44.949464","2026-01-07T15:52:44.949464"
